chlorophyll,mei,enso_event,sst,date,direction,speed,buoy_id,year,month,day,upwelling,week
1.0149286,0.2,Neutral,12.375,2004-01-04,92.9305544,5.457582997,M1,2004,1,4,0,1
1.0149286,0.2,Neutral,12.375,2004-01-11,55.80732804,3.591718007,M1,2004,1,11,0,2
1.0149286,0.2,Neutral,12.375,2004-01-18,41.80402679,4.154271076,M1,2004,1,18,0,3
1.0149286,0.2,Neutral,12.375,2004-01-25,339.1637203,5.532117992,M1,2004,1,25,0,4
46.43133,0,Neutral,11.897142,2004-02-01,329.7112859,5.882043122,M1,2004,2,1,1,1
46.43133,0,Neutral,11.897142,2004-02-08,60.44488227,4.154020124,M1,2004,2,8,0,2
46.43133,0,Neutral,11.897142,2004-02-15,184.4009779,5.722299074,M1,2004,2,15,0,3
46.43133,0,Neutral,11.897142,2004-02-22,210.2738622,6.121210832,M1,2004,2,22,0,4
46.43133,0,Neutral,11.897142,2004-02-29,322.5334962,6.487093511,M1,2004,2,29,1,5
16.278376,-0.4,Neutral,12.816666,2004-03-07,328.9252548,4.687344563,M1,2004,3,7,1,1
16.278376,-0.4,Neutral,12.816666,2004-03-14,326.2996134,3.606173105,M1,2004,3,14,0,2
16.278376,-0.4,Neutral,12.816666,2004-03-21,303.5890068,5.408057162,M1,2004,3,21,1,3
16.278376,-0.4,Neutral,12.816666,2004-03-28,320.8496285,6.294525957,M1,2004,3,28,1,4
8.413933,-0.2,Neutral,12.076875,2004-04-04,312.1304373,5.758894751,M1,2004,4,4,1,1
8.413933,-0.2,Neutral,12.076875,2004-04-11,304.1463397,3.9221276,M1,2004,4,11,0,2
8.413933,-0.2,Neutral,12.076875,2004-04-18,269.0556835,4.79170475,M1,2004,4,18,0,3
8.413933,-0.2,Neutral,12.076875,2004-04-25,309.0483414,4.874880576,M1,2004,4,25,1,4
7.4053683,-0.5,Neutral,12.004063,2004-05-02,303.5816816,5.914017564,M1,2004,5,2,1,1
7.4053683,-0.5,Neutral,12.004063,2004-05-09,313.0118729,8.063556029,M1,2004,5,9,1,2
7.4053683,-0.5,Neutral,12.004063,2004-05-16,294.8408116,6.305923895,M1,2004,5,16,1,3
7.4053683,-0.5,Neutral,12.004063,2004-05-23,265.5073156,4.195503412,M1,2004,5,23,0,4
7.4053683,-0.5,Neutral,12.004063,2004-05-30,315.2168611,7.279026245,M1,2004,5,30,1,5
11.259228,-0.4,Neutral,12.151316,2004-06-06,298.8516521,7.631614107,M1,2004,6,6,1,1
11.259228,-0.4,Neutral,12.151316,2004-06-13,272.1213762,4.651964491,M1,2004,6,13,0,2
11.259228,-0.4,Neutral,12.151316,2004-06-20,305.2813825,7.53683316,M1,2004,6,20,1,3
11.259228,-0.4,Neutral,12.151316,2004-06-27,277.1132839,4.987677668,M1,2004,6,27,0,4
7.0364,0.5,Neutral,13.914375,2004-07-04,229.9616692,4.24716426,M1,2004,7,4,0,1
7.0364,0.5,Neutral,13.914375,2004-07-11,313.0366704,6.155959843,M1,2004,7,11,1,2
7.0364,0.5,Neutral,13.914375,2004-07-18,293.950809,4.793324417,M1,2004,7,18,1,3
7.0364,0.5,Neutral,13.914375,2004-07-25,257.7871409,3.058840238,M1,2004,7,25,0,4
2.7790911,0.8,El Nino,14.859645,2004-08-01,305.2863345,5.68422468,M1,2004,8,1,1,1
2.7790911,0.8,El Nino,14.859645,2004-08-08,275.0230766,3.510833475,M1,2004,8,8,0,2
2.7790911,0.8,El Nino,14.859645,2004-08-15,303.3005647,4.416446928,M1,2004,8,15,1,3
2.7790911,0.8,El Nino,14.859645,2004-08-22,284.94541829999997,4.054170973,M1,2004,8,22,1,4
2.7790911,0.8,El Nino,14.859645,2004-08-29,291.625306,3.965659159,M1,2004,8,29,0,5
8.3810005,0.6,El Nino,14.912646,2004-09-05,316.3439394,4.1300765,M1,2004,9,5,1,1
8.3810005,0.6,El Nino,14.912646,2004-09-12,310.3483675,5.569022664,M1,2004,9,12,1,2
8.3810005,0.6,El Nino,14.912646,2004-09-19,310.3789169,4.133016858,M1,2004,9,19,1,3
8.3810005,0.6,El Nino,14.912646,2004-09-26,289.1666204,3.526647116,M1,2004,9,26,0,4
8.783473,0.4,Neutral,14.62,2004-10-03,320.5416281,4.386032012,M1,2004,10,3,1,1
8.783473,0.4,Neutral,14.62,2004-10-10,320.6361952,3.452045388,M1,2004,10,10,0,2
8.783473,0.4,Neutral,14.62,2004-10-17,203.7390991,4.86259943,M1,2004,10,17,0,3
8.783473,0.4,Neutral,14.62,2004-10-24,310.7523355,5.397159256,M1,2004,10,24,1,4
8.783473,0.4,Neutral,14.62,2004-10-31,16.04551909,5.475299751,M1,2004,10,31,0,5
6.758955,0.6,El Nino,14.455556,2004-11-07,258.7334283,4.258566979,M1,2004,11,7,0,1
6.758955,0.6,El Nino,14.455556,2004-11-14,19.22565236,3.901440487,M1,2004,11,14,0,2
6.758955,0.6,El Nino,14.455556,2004-11-21,4.612956459,5.591982701,M1,2004,11,21,0,3
6.758955,0.6,El Nino,14.455556,2004-11-28,42.50068885,5.119205196,M1,2004,11,28,0,4
1.7027895,0.5,Neutral,13.173077,2004-12-05,118.0585974,6.260308153,M1,2004,12,5,0,1
1.7027895,0.5,Neutral,13.173077,2004-12-12,68.92710856,5.471074514,M1,2004,12,12,0,2
1.7027895,0.5,Neutral,13.173077,2004-12-19,60.07407172,3.922248774,M1,2004,12,19,0,3
1.7027895,0.5,Neutral,13.173077,2004-12-26,179.349056,8.343659989,M1,2004,12,26,0,4
1.1045,0.1,Neutral,13.494092,2005-01-02,137.0256323,5.866485039,M1,2005,1,2,0,1
1.1045,0.1,Neutral,13.494092,2005-01-09,55.54815956,6.35222561,M1,2005,1,9,0,2
1.1045,0.1,Neutral,13.494092,2005-01-16,48.26298877,4.447689731,M1,2005,1,16,0,3
1.1045,0.1,Neutral,13.494092,2005-01-23,179.950964,5.214937989,M1,2005,1,23,0,4
1.1045,0.1,Neutral,13.494092,2005-01-30,35.37850919,4.558462025,M1,2005,1,30,0,5
1.0282727,0.6,El Nino,13.516427,2005-02-06,11.6528634,5.073428203,M1,2005,2,6,0,1
1.0282727,0.6,El Nino,13.516427,2005-02-13,133.8643671,5.240180261,M1,2005,2,13,0,2
1.0282727,0.6,El Nino,13.516427,2005-02-20,14.28305399,5.740710983,M1,2005,2,20,0,3
1.0282727,0.6,El Nino,13.516427,2005-02-27,181.759617,5.555605473,M1,2005,2,27,0,4
1.9082502,0.8,El Nino,14.305715,2005-03-06,332.8958457,4.225686717,M1,2005,3,6,0,1
1.9082502,0.8,El Nino,14.305715,2005-03-13,221.8200131,4.232220303,M1,2005,3,13,0,2
