"time","latitude","longitude","chlorophyll","month","year_month","...1","YEAR","Month","Temperature","Date","ColorCategory","enso_event"
2004-01-16 12:00:00,36.8,-121.8,5.8686,"2004-01-16 12:00:00","2004-01",49,2004,"Jan",0.2,2004-01-01,"Above Threshold","El Nino"
2004-02-15 12:00:00,36.8,-121.8,8.719099,"2004-02-15 12:00:00","2004-02",50,2004,"Feb",0,2004-02-01,"Below Threshold","La Nina"
2004-03-16 12:00:00,36.8,-121.8,25.7494,"2004-03-16 12:00:00","2004-03",51,2004,"March",-0.4,2004-03-01,"Below Threshold","La Nina"
2004-04-16,36.8,-121.8,43.1199,"2004-04-16","2004-04",52,2004,"April",-0.2,2004-04-01,"Below Threshold","La Nina"
2004-05-16 12:00:00,36.8,-121.8,15.433637,"2004-05-16 12:00:00","2004-05",53,2004,"May",-0.5,2004-05-01,"Below Threshold","La Nina"
2004-06-16,36.8,-121.8,41.052917,"2004-06-16","2004-06",54,2004,"June",-0.4,2004-06-01,"Below Threshold","La Nina"
2004-07-16 12:00:00,36.8,-121.8,27.32475,"2004-07-16 12:00:00","2004-07",55,2004,"July",0.5,2004-07-01,"Above Threshold","El Nino"
2004-08-16 12:00:00,36.8,-121.8,36.7669,"2004-08-16 12:00:00","2004-08",56,2004,"Aug",0.8,2004-08-01,"Above Threshold","El Nino"
2004-09-16,36.8,-121.8,51.11447,"2004-09-16","2004-09",57,2004,"Sep",0.6,2004-09-01,"Above Threshold","El Nino"
2004-10-16 12:00:00,36.8,-121.8,42.363773,"2004-10-16 12:00:00","2004-10",58,2004,"Oct",0.4,2004-10-01,"Above Threshold","El Nino"
2004-11-16,36.8,-121.8,53.280945,"2004-11-16","2004-11",59,2004,"NOv",0.6,2004-11-01,"Above Threshold","El Nino"
2004-12-16 12:00:00,36.8,-121.8,10.850249,"2004-12-16 12:00:00","2004-12",60,2004,"Dec",0.5,2004-12-01,"Above Threshold","El Nino"
2005-01-16 12:00:00,36.8,-121.8,5.926363,"2005-01-16 12:00:00","2005-01",61,2005,"Jan",0.1,2005-01-01,"Above Threshold","El Nino"
2005-02-15,36.8,-121.8,6.2920003,"2005-02-15","2005-02",62,2005,"Feb",0.6,2005-02-01,"Above Threshold","El Nino"
2005-03-16 12:00:00,36.8,-121.8,10.077001,"2005-03-16 12:00:00","2005-03",63,2005,"March",0.8,2005-03-01,"Above Threshold","El Nino"
2005-04-16,36.8,-121.8,77.7758,"2005-04-16","2005-04",64,2005,"April",0.1,2005-04-01,"Above Threshold","El Nino"
2005-05-16 12:00:00,36.8,-121.8,18.726856,"2005-05-16 12:00:00","2005-05",65,2005,"May",0.2,2005-05-01,"Above Threshold","El Nino"
2005-06-16,36.8,-121.8,53.424603,"2005-06-16","2005-06",66,2005,"June",0.2,2005-06-01,"Above Threshold","El Nino"
2005-07-16 12:00:00,36.8,-121.8,111.346504,"2005-07-16 12:00:00","2005-07",67,2005,"July",0,2005-07-01,"Below Threshold","La Nina"
2005-08-16 12:00:00,36.8,-121.8,24.349201,"2005-08-16 12:00:00","2005-08",68,2005,"Aug",0,2005-08-01,"Below Threshold","La Nina"
2005-09-16,36.8,-121.8,40.300694,"2005-09-16","2005-09",69,2005,"Sep",0,2005-09-01,"Below Threshold","La Nina"
2005-10-16 12:00:00,36.8,-121.8,56.039436,"2005-10-16 12:00:00","2005-10",70,2005,"Oct",-0.7,2005-10-01,"Below Threshold","La Nina"
2005-11-16,36.8,-121.8,63.597572,"2005-11-16","2005-11",71,2005,"NOv",-0.7,2005-11-01,"Below Threshold","La Nina"
2005-12-16 12:00:00,36.8,-121.8,38.1405,"2005-12-16 12:00:00","2005-12",72,2005,"Dec",-0.7,2005-12-01,"Below Threshold","La Nina"
2006-01-16 12:00:00,36.8,-121.8,16.1907,"2006-01-16 12:00:00","2006-01",73,2006,"Jan",-0.6,2006-01-01,"Below Threshold","La Nina"
2006-02-15,36.8,-121.8,13.304154,"2006-02-15","2006-02",74,2006,"Feb",-0.5,2006-02-01,"Below Threshold","La Nina"
2006-03-16 12:00:00,36.8,-121.8,34.226887,"2006-03-16 12:00:00","2006-03",75,2006,"March",-0.6,2006-03-01,"Below Threshold","La Nina"
2006-04-16,36.8,-121.8,11.673,"2006-04-16","2006-04",76,2006,"April",-0.8,2006-04-01,"Below Threshold","La Nina"
2006-05-16 12:00:00,36.8,-121.8,18.329693,"2006-05-16 12:00:00","2006-05",77,2006,"May",-0.4,2006-05-01,"Below Threshold","La Nina"
2006-06-16,36.8,-121.8,81.194565,"2006-06-16","2006-06",78,2006,"June",-0.2,2006-06-01,"Below Threshold","La Nina"
2006-07-16 12:00:00,36.8,-121.8,91.955444,"2006-07-16 12:00:00","2006-07",79,2006,"July",0.2,2006-07-01,"Above Threshold","El Nino"
2006-08-16 12:00:00,36.8,-121.8,22.601,"2006-08-16 12:00:00","2006-08",80,2006,"Aug",0.6,2006-08-01,"Above Threshold","El Nino"
2006-09-16,36.8,-121.8,86.2258,"2006-09-16","2006-09",81,2006,"Sep",0.7,2006-09-01,"Above Threshold","El Nino"
2006-10-16 12:00:00,36.8,-121.8,83.31815,"2006-10-16 12:00:00","2006-10",82,2006,"Oct",0.8,2006-10-01,"Above Threshold","El Nino"
2006-11-16,36.8,-121.8,107.27473,"2006-11-16","2006-11",83,2006,"NOv",1,2006-11-01,"Above Threshold","El Nino"
2006-12-16 12:00:00,36.8,-121.8,14.741455,"2006-12-16 12:00:00","2006-12",84,2006,"Dec",0.6,2006-12-01,"Above Threshold","El Nino"
2007-01-16 12:00:00,36.8,-121.8,5.3759465,"2007-01-16 12:00:00","2007-01",85,2007,"Jan",0.6,2007-01-01,"Above Threshold","El Nino"
2007-02-15,36.8,-121.8,8.0262,"2007-02-15","2007-02",86,2007,"Feb",0.4,2007-02-01,"Above Threshold","El Nino"
2007-03-16 12:00:00,36.8,-121.8,35.011803,"2007-03-16 12:00:00","2007-03",87,2007,"March",-0.2,2007-03-01,"Below Threshold","La Nina"
2007-04-16,36.8,-121.8,16.736143,"2007-04-16","2007-04",88,2007,"April",-0.3,2007-04-01,"Below Threshold","La Nina"
