"...1.x","time","latitude","longitude","chlorophyll","month","year_month","...1.y","YEAR","Month","Temperature","Date","ColorCategory","enso_event"
1743,2004-01-16 12:00:00,36.6,-122.4,0.58900005,2004-01-16 12:00:00,"2004-01",49,2004,"Jan",0.2,2004-01-01,"Above Threshold","El Nino"
7538,2004-02-15 12:00:00,36.6,-122.4,1.4137498,2004-02-15 12:00:00,"2004-02",50,2004,"Feb",0,2004-02-01,"Below Threshold","La Nina"
13333,2004-03-16 12:00:00,36.6,-122.4,3.1076667,2004-03-16 12:00:00,"2004-03",51,2004,"March",-0.4,2004-03-01,"Below Threshold","La Nina"
19128,2004-04-16,36.6,-122.4,26.222763,2004-04-16,"2004-04",52,2004,"April",-0.2,2004-04-01,"Below Threshold","La Nina"
24923,2004-05-16 12:00:00,36.6,-122.4,4.079722,2004-05-16 12:00:00,"2004-05",53,2004,"May",-0.5,2004-05-01,"Below Threshold","La Nina"
30718,2004-06-16,36.6,-122.4,2.623625,2004-06-16,"2004-06",54,2004,"June",-0.4,2004-06-01,"Below Threshold","La Nina"
36513,2004-07-16 12:00:00,36.6,-122.4,1.9530001,2004-07-16 12:00:00,"2004-07",55,2004,"July",0.5,2004-07-01,"Above Threshold","El Nino"
42308,2004-08-16 12:00:00,36.6,-122.4,0.56533337,2004-08-16 12:00:00,"2004-08",56,2004,"Aug",0.8,2004-08-01,"Above Threshold","El Nino"
48103,2004-09-16,36.6,-122.4,3.0041502,2004-09-16,"2004-09",57,2004,"Sep",0.6,2004-09-01,"Above Threshold","El Nino"
53898,2004-10-16 12:00:00,36.6,-122.4,1.099,2004-10-16 12:00:00,"2004-10",58,2004,"Oct",0.4,2004-10-01,"Above Threshold","El Nino"
59693,2004-11-16,36.6,-122.4,0.99927783,2004-11-16,"2004-11",59,2004,"NOv",0.6,2004-11-01,"Above Threshold","El Nino"
65488,2004-12-16 12:00:00,36.6,-122.4,0.8126315,2004-12-16 12:00:00,"2004-12",60,2004,"Dec",0.5,2004-12-01,"Above Threshold","El Nino"
71283,2005-01-16 12:00:00,36.6,-122.4,0.69869226,2005-01-16 12:00:00,"2005-01",61,2005,"Jan",0.1,2005-01-01,"Above Threshold","El Nino"
77078,2005-02-15,36.6,-122.4,1.0168889,2005-02-15,"2005-02",62,2005,"Feb",0.6,2005-02-01,"Above Threshold","El Nino"
82873,2005-03-16 12:00:00,36.6,-122.4,0.6897692,2005-03-16 12:00:00,"2005-03",63,2005,"March",0.8,2005-03-01,"Above Threshold","El Nino"
88668,2005-04-16,36.6,-122.4,7.7051873,2005-04-16,"2005-04",64,2005,"April",0.1,2005-04-01,"Above Threshold","El Nino"
94463,2005-05-16 12:00:00,36.6,-122.4,1.356,2005-05-16 12:00:00,"2005-05",65,2005,"May",0.2,2005-05-01,"Above Threshold","El Nino"
100258,2005-06-16,36.6,-122.4,9.125264,2005-06-16,"2005-06",66,2005,"June",0.2,2005-06-01,"Above Threshold","El Nino"
106053,2005-07-16 12:00:00,36.6,-122.4,1.5372,2005-07-16 12:00:00,"2005-07",67,2005,"July",0,2005-07-01,"Below Threshold","La Nina"
111848,2005-08-16 12:00:00,36.6,-122.4,0.6695,2005-08-16 12:00:00,"2005-08",68,2005,"Aug",0,2005-08-01,"Below Threshold","La Nina"
117643,2005-09-16,36.6,-122.4,2.5856156,2005-09-16,"2005-09",69,2005,"Sep",0,2005-09-01,"Below Threshold","La Nina"
123438,2005-10-16 12:00:00,36.6,-122.4,4.3219376,2005-10-16 12:00:00,"2005-10",70,2005,"Oct",-0.7,2005-10-01,"Below Threshold","La Nina"
129233,2005-11-16,36.6,-122.4,5.2723746,2005-11-16,"2005-11",71,2005,"NOv",-0.7,2005-11-01,"Below Threshold","La Nina"
135028,2005-12-16 12:00:00,36.6,-122.4,0.66910005,2005-12-16 12:00:00,"2005-12",72,2005,"Dec",-0.7,2005-12-01,"Below Threshold","La Nina"
140823,2006-01-16 12:00:00,36.6,-122.4,2.9396667,2006-01-16 12:00:00,"2006-01",73,2006,"Jan",-0.6,2006-01-01,"Below Threshold","La Nina"
