"time","chlorophyll","mei","enso_event","sst","direction","speed"
2004-01-16 12:00:00,5.8686,0.2,"El Nino",12.418334,132.4264073825,4.683922518
2004-02-15 12:00:00,8.719099,0,"La Nina",10.9425,221.472900894,5.6733333326
2004-03-16 12:00:00,25.7494,-0.4,"La Nina",NA,319.915875875,4.99902519675
2004-04-16,43.1199,-0.2,"La Nina",12.76,298.595200475,4.83690191925
2004-05-16 12:00:00,15.433637,-0.5,"La Nina",NA,298.43170856,6.351605429
2004-06-16,41.052917,-0.4,"La Nina",14.435,288.341923675,6.2020223565
2004-07-16 12:00:00,27.32475,0.5,"El Nino",NA,273.684072375,4.5638221895
2004-08-16 12:00:00,36.7669,0.8,"El Nino",14.401668,292.03614002,4.326267043
2004-09-16,51.11447,0.6,"El Nino",NA,306.55946105,4.3396907845
2004-10-16 12:00:00,42.363773,0.4,"El Nino",NA,234.342955398,4.7146271674
2004-11-16,53.280945,0.6,"El Nino",14.535714,81.26818149225,4.71779884075
2004-12-16 12:00:00,10.850249,0.5,"El Nino",12.815,106.60220842,5.9993228575
2005-01-16 12:00:00,5.926363,0.1,"El Nino",13.993333,91.233250764,5.2879600788
2005-02-15,6.2920003,0.6,"El Nino",13.165,85.3899753725,5.40248123
2005-03-16 12:00:00,10.077001,0.8,"El Nino",NA,285.032650175,5.49047815525
2005-04-16,77.7758,0.1,"El Nino",15.395,304.8339409,6.20482542875
2005-05-16 12:00:00,18.726856,0.2,"El Nino",14.965,299.37413806,5.581182733
2005-06-16,53.424603,0.2,"El Nino",NA,291.49067625,5.2133488645
2005-07-16 12:00:00,111.346504,0,"La Nina",13.38,293.5728943,4.2045626216
2005-08-16 12:00:00,24.349201,0,"La Nina",16.36,292.3844091,3.88785184725
2005-09-16,40.300694,0,"La Nina",14.615,309.680519325,4.63615395225
2005-10-16 12:00:00,56.039436,-0.7,"La Nina",13.415,323.37258764,4.4801960594
2005-11-16,63.597572,-0.7,"La Nina",13.37,128.73004600025,4.61877956325
2005-12-16 12:00:00,38.1405,-0.7,"La Nina",12.0825,108.95056723,4.9258224235
2006-01-16 12:00:00,16.1907,-0.6,"La Nina",12.7075,97.0945625522,4.7236664688
2006-02-15,13.304154,-0.5,"La Nina",11.95,153.20993266,5.36950676425
2006-03-16 12:00:00,34.226887,-0.6,"La Nina",12.38,230.810028825,5.93677872425
2006-04-16,11.673,-0.8,"La Nina",14.08,251.36441248,5.5554686208
2006-05-16 12:00:00,18.329693,-0.4,"La Nina",NA,307.756844725,6.04249600675
2006-06-16,81.194565,-0.2,"La Nina",NA,295.633535425,5.1408031335
2006-07-16 12:00:00,91.955444,0.2,"El Nino",16.415,297.82918356,4.8299346902
2006-08-16 12:00:00,22.601,0.6,"El Nino",NA,294.749566575,4.12040654125
2006-09-16,86.2258,0.7,"El Nino",NA,306.0967398,4.05935225875
2006-10-16 12:00:00,83.31815,0.8,"El Nino",15.401666,244.9610535268,3.8384401906
2006-11-16,107.27473,1,"El Nino",14.239,261.451398945,5.049676179
2006-12-16 12:00:00,14.741455,0.6,"El Nino",12.29875,115.703166512,5.2687934448
2007-01-16 12:00:00,5.3759465,0.6,"El Nino",11.204166,20.2791807595,4.9637991535
2007-02-15,8.0262,0.4,"El Nino",12.26,261.11152405,5.98765876425
2007-03-16 12:00:00,35.011803,-0.2,"La Nina",NA,315.2366997,5.228806057
2007-04-16,16.736143,-0.3,"La Nina",12.46,308.9450364,6.5581766562
2007-05-16 12:00:00,56.257828,-0.4,"La Nina",NA,294.17696185,5.68389470825
2007-06-16,62.049286,-0.8,"La Nina",NA,298.470942475,6.3827086885
2007-07-16 12:00:00,119.94355,-0.7,"La Nina",NA,288.26926372,5.3007240252
2007-08-16 12:00:00,29.695454,-0.9,"La Nina",14.702499,298.640863275,5.039306548
2007-09-16,29.676056,-1.1,"La Nina",15.89,312.48820666,4.8192440148
2007-10-16 12:00:00,93.028534,-1.1,"La Nina",14.2699995,333.744747175,4.4007827255
2007-11-16,107.615105,-1.1,"La Nina",12.868333,120.8301290275,4.12921169225
2007-12-16 12:00:00,23.071272,-1.2,"La Nina",11.416249,47.4977811918,5.7615425354
2008-01-16 12:00:00,5.0101433,-1.1,"La Nina",12.3,136.865064665,5.57148855
2008-02-15 12:00:00,8.5077505,-1.3,"La Nina",NA,317.599044175,5.4293984835
2008-03-16 12:00:00,47.93407,-1.5,"La Nina",12.3375,326.4920334,6.0303519272
2008-04-16,41.03436,-1.1,"La Nina",NA,321.79017455,6.73761915225
2008-05-16 12:00:00,13.423401,-1,"La Nina",NA,299.54988105,5.7341627205
2008-06-16,14.4140005,-0.8,"La Nina",NA,306.37145212,6.4996065418
2008-07-16 12:00:00,82.7784,-0.8,"La Nina",14.466667,298.26806485,5.38407038225
2008-08-16 12:00:00,89.561,-1,"La Nina",NA,303.55964824,4.5719194314
2008-09-16,53.817,-1,"La Nina",16.5425,297.88279405,3.82847383875
2008-10-16 12:00:00,50.7928,-1.1,"La Nina",14.3825,321.225106875,5.24911631675
2008-11-16,16.781923,-1,"La Nina",13.955,150.9630637902,4.5635596988
2008-12-16 12:00:00,49.464455,-1,"La Nina",NA,111.51079129,5.299464999
2009-01-16 12:00:00,9.386999,-1,"La Nina",11.434999,149.4218015475,4.71679509875
2009-02-15,6.018444,-0.8,"La Nina",12.18,182.086311175,5.4970492575
2009-03-16 12:00:00,88.41509,-0.9,"La Nina",NA,289.72586816,6.8637410564
2009-04-16,16.99843,-0.8,"La Nina",NA,279.460828075,6.322903893
2009-05-16 12:00:00,13.165666,-0.7,"La Nina",NA,283.39185932,5.8472422306
2009-06-16,69.479256,0,"La Nina",NA,266.4635166,4.8049515115
2009-07-16 12:00:00,98.853004,0.6,"El Nino",15.105,301.506448375,5.56424683525
2009-08-16 12:00:00,10.5263,0.6,"El Nino",NA,298.78287816,4.4527446054
2009-09-16,84.1361,0.4,"El Nino",15.1375,300.951851725,4.56232160325
2009-10-16 12:00:00,42.839302,0.6,"El Nino",15.395,301.54384335,5.3996849315
2009-11-16,31.274393,1,"El Nino",13.206251,14.2744986364,4.7398257832
2009-12-16 12:00:00,11.81,1,"El Nino",12.13,84.746941725,4.95619814775
2010-01-16 12:00:00,6.9530005,0.9,"El Nino",13.071667,126.8111459,5.4360881784
2010-02-15,5.7415004,1.3,"El Nino",13.315,290.9623196,4.99107365675
2010-03-16 12:00:00,12.070749,1.3,"El Nino",13.9,241.48591444525,5.62571565275
2010-04-16,35.02843,0.5,"El Nino",12.2,311.42663065,6.4399049925
2010-05-16 12:00:00,19.858665,-0.1,"La Nina",12.4425,311.60752942,6.0970210952
2010-06-16,29.886497,-1.3,"La Nina",12.62,313.291671825,6.44378623975
2010-07-16 12:00:00,69.325165,-2.4,"La Nina",15.84,290.882587425,3.98272681875
2010-08-16 12:00:00,31.627857,-2.4,"La Nina",14.075,312.52373322,4.3134679146
2010-09-16,81.773125,-2.3,"La Nina",NA,316.08539425,4.4172685345
2010-10-16 12:00:00,16.836376,-2.2,"La Nina",14.26,283.84794684,4.0974361076
2010-11-16,59.62265,-2,"La Nina",12.945,243.5762798675,4.935457231
2010-12-16 12:00:00,52.450504,-1.9,"La Nina",11.65,100.4725085675,5.3834643075
2011-01-16 12:00:00,18.248468,-1.8,"La Nina",12.192499,173.108665278,4.8363682292
2011-02-15,59.075306,-1.6,"La Nina",12.745,170.51969712975,5.89157740475
2011-03-16 12:00:00,6.6790004,-1.7,"La Nina",13.0275,266.934080625,6.01331264375
2011-04-16,20.715399,-1.7,"La Nina",13.05,310.25887655,6.40327231775
2011-05-16 12:00:00,19.554571,-1.2,"La Nina",12.7975,284.89986096,6.449597769
2011-06-16,22.8446,-1,"La Nina",NA,300.2463517,5.98912770925
2011-07-16 12:00:00,59.504,-0.7,"La Nina",NA,284.98222574,4.4307958804
