"chlorophyll","mei","enso_event","sst","date","direction","speed"
1.0149286,0.2,"El Nino",12.375,2004-01-04,92.9305544,5.457582997
1.0149286,0.2,"El Nino",12.375,2004-01-11,55.80732804,3.591718007
1.0149286,0.2,"El Nino",12.375,2004-01-18,41.80402679,4.154271076
1.0149286,0.2,"El Nino",12.375,2004-01-25,339.1637203,5.532117992
46.43133,0,"La Nina",11.897142,2004-02-01,329.7112859,5.882043122
46.43133,0,"La Nina",11.897142,2004-02-08,60.44488227,4.154020124
46.43133,0,"La Nina",11.897142,2004-02-15,184.4009779,5.722299074
46.43133,0,"La Nina",11.897142,2004-02-22,210.2738622,6.121210832
46.43133,0,"La Nina",11.897142,2004-02-29,322.5334962,6.487093511
16.278376,-0.4,"La Nina",12.816666,2004-03-07,328.9252548,4.687344563
16.278376,-0.4,"La Nina",12.816666,2004-03-14,326.2996134,3.606173105
16.278376,-0.4,"La Nina",12.816666,2004-03-21,303.5890068,5.408057162
16.278376,-0.4,"La Nina",12.816666,2004-03-28,320.8496285,6.294525957
8.413933,-0.2,"La Nina",12.076875,2004-04-04,312.1304373,5.758894751
8.413933,-0.2,"La Nina",12.076875,2004-04-11,304.1463397,3.9221276
8.413933,-0.2,"La Nina",12.076875,2004-04-18,269.0556835,4.79170475
8.413933,-0.2,"La Nina",12.076875,2004-04-25,309.0483414,4.874880576
7.4053683,-0.5,"La Nina",12.004063,2004-05-02,303.5816816,5.914017564
7.4053683,-0.5,"La Nina",12.004063,2004-05-09,313.0118729,8.063556029
7.4053683,-0.5,"La Nina",12.004063,2004-05-16,294.8408116,6.305923895
7.4053683,-0.5,"La Nina",12.004063,2004-05-23,265.5073156,4.195503412
7.4053683,-0.5,"La Nina",12.004063,2004-05-30,315.2168611,7.279026245
11.259228,-0.4,"La Nina",12.151316,2004-06-06,298.8516521,7.631614107
11.259228,-0.4,"La Nina",12.151316,2004-06-13,272.1213762,4.651964491
11.259228,-0.4,"La Nina",12.151316,2004-06-20,305.2813825,7.53683316
11.259228,-0.4,"La Nina",12.151316,2004-06-27,277.1132839,4.987677668
7.0364,0.5,"El Nino",13.914375,2004-07-04,229.9616692,4.24716426
7.0364,0.5,"El Nino",13.914375,2004-07-11,313.0366704,6.155959843
7.0364,0.5,"El Nino",13.914375,2004-07-18,293.950809,4.793324417
7.0364,0.5,"El Nino",13.914375,2004-07-25,257.7871409,3.058840238
2.7790911,0.8,"El Nino",14.859645,2004-08-01,305.2863345,5.68422468
2.7790911,0.8,"El Nino",14.859645,2004-08-08,275.0230766,3.510833475
2.7790911,0.8,"El Nino",14.859645,2004-08-15,303.3005647,4.416446928
2.7790911,0.8,"El Nino",14.859645,2004-08-22,284.9454183,4.054170973
2.7790911,0.8,"El Nino",14.859645,2004-08-29,291.625306,3.965659159
8.3810005,0.6,"El Nino",14.912646,2004-09-05,316.3439394,4.1300765
8.3810005,0.6,"El Nino",14.912646,2004-09-12,310.3483675,5.569022664
8.3810005,0.6,"El Nino",14.912646,2004-09-19,310.3789169,4.133016858
8.3810005,0.6,"El Nino",14.912646,2004-09-26,289.1666204,3.526647116
8.783473,0.4,"El Nino",14.62,2004-10-03,320.5416281,4.386032012
8.783473,0.4,"El Nino",14.62,2004-10-10,320.6361952,3.452045388
8.783473,0.4,"El Nino",14.62,2004-10-17,203.7390991,4.86259943
8.783473,0.4,"El Nino",14.62,2004-10-24,310.7523355,5.397159256
8.783473,0.4,"El Nino",14.62,2004-10-31,16.04551909,5.475299751
6.758955,0.6,"El Nino",14.455556,2004-11-07,258.7334283,4.258566979
6.758955,0.6,"El Nino",14.455556,2004-11-14,19.22565236,3.901440487
6.758955,0.6,"El Nino",14.455556,2004-11-21,4.612956459,5.591982701
6.758955,0.6,"El Nino",14.455556,2004-11-28,42.50068885,5.119205196
1.7027895,0.5,"El Nino",13.173077,2004-12-05,118.0585974,6.260308153
1.7027895,0.5,"El Nino",13.173077,2004-12-12,68.92710856,5.471074514
1.7027895,0.5,"El Nino",13.173077,2004-12-19,60.07407172,3.922248774
1.7027895,0.5,"El Nino",13.173077,2004-12-26,179.349056,8.343659989
1.1045,0.1,"El Nino",13.494092,2005-01-02,137.0256323,5.866485039
