"time","chlorophyll","mei","enso_event","sst","direction","speed"
2004-01-16 12:00:00,0.58900005,0.2,"El Nino",12.474999,132.4264073825,4.683922518
2004-02-15 12:00:00,1.4137498,0,"La Nina",12.264167,221.472900894,5.6733333326
2004-03-16 12:00:00,3.1076667,-0.4,"La Nina",12.7809105,319.915875875,4.99902519675
2004-04-16,26.222763,-0.2,"La Nina",12.219334,298.595200475,4.83690191925
2004-05-16 12:00:00,4.079722,-0.5,"La Nina",12.749,298.43170856,6.351605429
2004-06-16,2.623625,-0.4,"La Nina",12.588572,288.341923675,6.2020223565
2004-07-16 12:00:00,1.9530001,0.5,"El Nino",14.315833,273.684072375,4.5638221895
2004-08-16 12:00:00,0.56533337,0.8,"El Nino",15.458889,292.03614002,4.326267043
2004-09-16,3.0041502,0.6,"El Nino",15.42077,306.55946105,4.3396907845
2004-10-16 12:00:00,1.099,0.4,"El Nino",15.525,234.342955398,4.7146271674
2004-11-16,0.99927783,0.6,"El Nino",14.608463,81.26818149225,4.71779884075
2004-12-16 12:00:00,0.8126315,0.5,"El Nino",12.9032135,106.60220842,5.9993228575
2005-01-16 12:00:00,0.69869226,0.1,"El Nino",13.238333,91.233250764,5.2879600788
2005-02-15,1.0168889,0.6,"El Nino",13.7275,85.3899753725,5.40248123
2005-03-16 12:00:00,0.6897692,0.8,"El Nino",13.946428,285.032650175,5.49047815525
2005-04-16,7.7051873,0.1,"El Nino",12.691539,304.8339409,6.20482542875
2005-05-16 12:00:00,1.356,0.2,"El Nino",14.089583,299.37413806,5.581182733
2005-06-16,9.125264,0.2,"El Nino",13.271843,291.49067625,5.2133488645
2005-07-16 12:00:00,1.5372,0,"La Nina",14.106,293.5728943,4.2045626216
2005-08-16 12:00:00,0.6695,0,"La Nina",14.753571,292.3844091,3.88785184725
2005-09-16,2.5856156,0,"La Nina",14.9794445,309.680519325,4.63615395225
2005-10-16 12:00:00,4.3219376,-0.7,"La Nina",13.9096155,323.37258764,4.4801960594
2005-11-16,5.2723746,-0.7,"La Nina",13.511365,128.73004600025,4.61877956325
2005-12-16 12:00:00,0.66910005,-0.7,"La Nina",12.91389,108.95056723,4.9258224235
